levelId,code,levelType,playMode,passed,simulatorError,attempt,seed,state,shotLimit,shotsFired,clearRemainingShots,timeLimitSeconds,remainingTimeSeconds,score,boardCells,sourceName,errorMessage
505,L505_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2679235387,lost_objective,42,35,7,,,7092,0,levels_pack_501_600.json#level_505,
506,L506_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,1031301832,lost_objective,43,34,9,,,6600,0,levels_pack_501_600.json#level_506,
507,L507_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,3540053145,won_settlement_pending,43,40,3,,,22123,4,levels_pack_501_600.json#level_507,
508,L508_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,1925944878,lost_objective,44,40,4,,,10141,4,levels_pack_501_600.json#level_508,
509,L509_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,278010367,lost_objective,45,22,23,,,7372,4,levels_pack_501_600.json#level_509,
510,L510_FULL_SYSTEM_MASTERY,special_floating_island,timed_infinite_shots,false,false,1,3059385228,lost_objective,,47,,90,0,17013,20,levels_pack_501_600.json#level_510,
511,L511_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,1415906653,won_settlement_pending,41,17,24,,,47495,0,levels_pack_501_600.json#level_511,
512,L512_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,3928854290,lost_objective,42,39,3,,,8532,0,levels_pack_501_600.json#level_512,
513,L513_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2314483363,out_of_shots_add_ball_prompt,42,42,0,,,5371,23,levels_pack_501_600.json#level_513,
514,L514_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,800897136,lost_objective,42,7,35,,,7338,2,levels_pack_501_600.json#level_514,
515,L515_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,3443991041,lost_objective,42,24,18,,,6881,0,levels_pack_501_600.json#level_515,
516,L516_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,1661969878,won_settlement_pending,43,9,34,,,19797,0,levels_pack_501_600.json#level_516,
517,L517_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,47591271,won_settlement_pending,43,42,1,,,11156,4,levels_pack_501_600.json#level_517,
518,L518_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2694762804,out_of_shots_add_ball_prompt,44,44,0,,,5389,51,levels_pack_501_600.json#level_518,
519,L519_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,1185503429,won_settlement_pending,45,25,20,,,19901,4,levels_pack_501_600.json#level_519,
520,L520_FULL_SYSTEM_MASTERY,special_floating_island,timed_infinite_shots,false,false,1,3832660634,lost_objective,,42,,90,0,10495,15,levels_pack_501_600.json#level_520,
521,L521_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2050507819,lost_objective,41,15,26,,,5490,0,levels_pack_501_600.json#level_521,
522,L522_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,432066552,lost_objective,42,30,12,,,4615,0,levels_pack_501_600.json#level_522,
523,L523_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,3213586825,out_of_shots_add_ball_prompt,42,42,0,,,1810,49,levels_pack_501_600.json#level_523,
524,L524_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,1565784926,lost_objective,42,16,26,,,8488,2,levels_pack_501_600.json#level_524,
525,L525_TRAPPED_SPRITE_RESCUE,trapped_sprite_rescue,shot_limited,true,false,1,4078592751,won_settlement_pending,41,14,27,,,31695,0,levels_pack_501_600.json#level_525,
526,L526_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2434983100,lost_objective,43,30,13,,,4344,0,levels_pack_501_600.json#level_526,
527,L527_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,820866637,lost_objective,43,20,23,,,4485,4,levels_pack_501_600.json#level_527,
528,L528_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,3602124802,lost_objective,44,27,17,,,3959,4,levels_pack_501_600.json#level_528,
529,L529_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,1954323411,lost_objective,45,25,20,,,4352,4,levels_pack_501_600.json#level_529,
530,L530_FULL_SYSTEM_MASTERY,special_floating_island,timed_infinite_shots,false,false,1,168238432,lost_objective,,24,,90,38.85,9660,4,levels_pack_501_600.json#level_530,
531,L531_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2848950065,lost_objective,41,17,24,,,7221,0,levels_pack_501_600.json#level_531,
532,L532_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,1335234246,lost_objective,42,29,13,,,4842,0,levels_pack_501_600.json#level_532,
533,L533_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,3982405783,lost_objective,42,15,27,,,8044,0,levels_pack_501_600.json#level_533,
534,L534_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,2204711460,won_settlement_pending,42,28,14,,,18288,2,levels_pack_501_600.json#level_534,
535,L535_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,556908021,lost_objective,42,17,25,,,3011,0,levels_pack_501_600.json#level_535,
536,L536_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,3237488522,lost_objective,43,6,37,,,4099,0,levels_pack_501_600.json#level_536,
537,L537_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,1719707995,lost_objective,43,29,14,,,4788,4,levels_pack_501_600.json#level_537,
538,L538_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,72044776,out_of_shots_add_ball_prompt,44,44,0,,,4185,48,levels_pack_501_600.json#level_538,
539,L539_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2584992441,lost_objective,45,27,18,,,6953,4,levels_pack_501_600.json#level_539,
540,L540_FULL_SYSTEM_MASTERY,special_floating_island,timed_infinite_shots,false,false,1,970611790,lost_objective,,39,,90,0,8941,44,levels_pack_501_600.json#level_540,
541,L541_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,3756181023,won_settlement_pending,41,17,24,,,25323,0,levels_pack_501_600.json#level_541,
542,L542_TRAPPED_SPRITE_RESCUE,trapped_sprite_rescue,shot_limited,false,true,1,2108508588,simulator_error,41,12,29,,,5938,22,levels_pack_501_600.json#level_542,Trapped sprite rescue bubble impact requires an attachment cell.
543,L543_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,326497149,lost_objective,42,19,23,,,6137,0,levels_pack_501_600.json#level_543,
544,L544_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2973529394,lost_objective,42,31,11,,,7795,2,levels_pack_501_600.json#level_544,
545,L545_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,1355087043,won_settlement_pending,42,18,24,,,15184,0,levels_pack_501_600.json#level_545,
546,L546_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,4136593040,lost_objective,43,30,13,,,6735,0,levels_pack_501_600.json#level_546,
547,L547_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2488789025,lost_objective,43,30,13,,,6641,4,levels_pack_501_600.json#level_547,
548,L548_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,706647030,out_of_shots_add_ball_prompt,44,44,0,,,9684,53,levels_pack_501_600.json#level_548,
549,L549_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,3358135687,out_of_shots_add_ball_prompt,45,45,0,,,3099,88,levels_pack_501_600.json#level_549,
550,L550_FULL_SYSTEM_MASTERY,special_floating_island,timed_infinite_shots,true,false,1,1878105940,won,,23,,90,38.3,12885,4,levels_pack_501_600.json#level_550,
551,L551_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,230164197,won_settlement_pending,33,14,19,,,22267,0,levels_pack_501_600.json#level_551,
552,L552_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2738915514,lost_objective,42,36,6,,,8247,0,levels_pack_501_600.json#level_552,
553,L553_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,1091252811,lost_objective,42,28,14,,,8082,0,levels_pack_501_600.json#level_553,
